//X,Y,Z,intensity,ping_no
-251.77528381,115.73950195,-7.57715797,-510.000000,20.000000
-251.73287964,115.84347534,-7.58040428,-510.000000,20.000000
-251.69024658,115.94802094,-7.58199883,-510.000000,20.000000
-251.64738464,116.05310059,-7.58192539,-510.000000,20.000000
-251.60313416,116.16157532,-7.57745171,-510.000000,20.000000
-251.55895996,116.26983643,-7.57186890,-510.000000,20.000000
-251.51429749,116.37928772,-7.56379032,-510.000000,20.000000
-251.46974182,116.48847961,-7.55460644,-510.000000,20.000000
-251.41426086,116.62455750,-7.56717968,-510.000000,20.000000
-251.35839844,116.76158905,-7.57723999,-510.000000,20.000000
-251.30215454,116.89952087,-7.58476353,-510.000000,20.000000
-251.24554443,117.03832245,-7.58973026,-510.000000,20.000000
-251.18211365,117.19390106,-7.60071278,-510.000000,20.000000
-251.11824036,117.35055542,-7.60859489,-510.000000,20.000000
-251.05393982,117.50823212,-7.61334896,-510.000000,20.000000
-250.98922729,117.66689301,-7.61495209,-510.000000,20.000000
-250.92234802,117.83079529,-7.60797501,-510.000000,20.000000
-250.85012817,118.00789642,-7.61030102,-510.000000,20.000000
-250.78248596,118.17363739,-7.59622860,-510.000000,20.000000
-250.70942688,118.35272980,-7.59109879,-510.000000,20.000000
-250.62268066,118.56542206,-7.59674835,-510.000000,20.000000
-250.52983093,118.79314423,-7.60844517,-510.000000,20.000000
-250.44186401,119.00876617,-7.60376835,-510.000000,20.000000
-250.34774780,119.23950195,-7.60466003,-510.000000,20.000000
-250.23332214,119.52014160,-7.62135315,-510.000000,20.000000
-250.11801147,119.80291748,-7.63055325,-510.000000,20.000000
-250.00186157,120.08769226,-7.63219833,-510.000000,20.000000
-249.88493347,120.37431335,-7.62622452,-510.000000,20.000000
-256.56860352,104.11804962,-8.02384758,-510.000000,21.000000
-256.49908447,104.28873444,-8.00671005,-510.000000,21.000000
-256.43508911,104.44586182,-7.99899197,-510.000000,21.000000
-256.37152100,104.60197449,-7.98832989,-510.000000,21.000000
-256.30838013,104.75701141,-7.97474766,-510.000000,21.000000
-256.25177002,104.89598846,-7.96817493,-510.000000,21.000000
-256.20004272,105.02308655,-7.97321892,-510.000000,21.000000
-256.14410400,105.16043854,-7.96190929,-510.000000,21.000000
-256.09292603,105.28610992,-7.96249294,-510.000000,21.000000
-256.05261230,105.38527679,-7.98530579,-510.000000,21.000000
-256.01235962,105.48426056,-8.00662708,-510.000000,21.000000
-255.97218323,105.58304596,-8.02646160,-510.000000,21.000000
-255.93208313,105.68161011,-8.04481697,-510.000000,21.000000
-255.87524414,105.82103729,-8.00298786,-510.000000,21.000000
-255.81860352,105.95991516,-7.95950222,-510.000000,21.000000
-255.76283264,106.09667206,-7.91303635,-510.000000,21.000000
-255.71160889,106.22235107,-7.87943554,-510.000000,21.000000
-255.67019653,106.32400513,-7.87117195,-510.000000,21.000000
-255.62904358,106.42504120,-7.86140251,-510.000000,21.000000
-255.58815002,106.52545166,-7.85014057,-510.000000,21.000000
-255.55157471,106.61529541,-7.85233784,-510.000000,21.000000
-255.51205444,106.71229553,-7.83653450,-510.000000,21.000000
-255.47645569,106.79970551,-7.83504200,-510.000000,21.000000
-255.43742371,106.89548492,-7.81657696,-510.000000,21.000000
-255.40223694,106.98191071,-7.81261921,-510.000000,21.000000
-255.36781311,107.06640625,-7.80644608,-510.000000,21.000000
-255.33734131,107.14131927,-7.81466866,-510.000000,21.000000
-255.30323792,107.22502899,-7.80634975,-510.000000,21.000000
-255.27297974,107.29940033,-7.81262302,-510.000000,21.000000
-255.23623657,107.38950348,-7.78544426,-510.000000,21.000000
-255.19950867,107.47959137,-7.75751400,-510.000000,21.000000
-255.16339111,107.56815338,-7.72790432,-510.000000,21.000000
-255.12728882,107.65666199,-7.69754505,-510.000000,21.000000
-255.10220337,107.71835327,-7.71347618,-510.000000,21.000000
-255.08044434,107.77198029,-7.74493027,-510.000000,21.000000
-255.05856323,107.82586670,-7.77586746,-510.000000,21.000000
-255.03659058,107.88000488,-7.80628490,-510.000000,21.000000
-255.00881958,107.94820404,-7.80252743,-510.000000,21.000000
-254.98394775,108.00933075,-7.81487751,-510.000000,21.000000
-254.95941162,108.06967163,-7.82618809,-510.000000,21.000000
